respondentId,reportedAt,durationSeconds,score,stressor1,stressor2,stressor3,buffer1,buffer2,buffer3,I feel I belong in my organization.,"Do you get up at the same time each morning, even if you do not have to work?","Do you go to bed at the same time each night, even if you do not have to work the next day?",Do you get up immediately after your first alarm? (as opposed to snoozing).,"I have trustworthy, reliable, and loving relationships with my family.","I have trustworthy, reliable, and loving relationships with my friends.","I have trustworthy, reliable, and caring relationships with my co-workers.",I am satisfied with the amount of freedom and independence I have when doing my job.,I am satisfied with the amount of discretion I have when doing my job.,I fall asleep easily.,I tend to wake up during the night and can't fall back to sleep again.,I find it challenging to get up in the mornings.,I feel well-rested and refreshed in the mornings.,"Considering my qualifications and experience, I am compensated fairly.",I feel fairly compensated considering what others in my organization and in the wider job market are being paid.,I can confide in my co-workers when I need to.,I consider some of my co-workers as friends.,I have a healthy balance between my work and personal life.,I have time/make time for leisure activities each day.,I have too much work to do and struggle to keep up.,My values are aligned with that of my organization.,I have control over my work schedule.,My schedule is entirely dependent on what the organization's needs are.,"Based on my education and experience, I am satisfied with the opportunities for advancement that my organization offers.",My organization prefers to hire from outside rather than promote from within.,Do you have a daily or regular routine of any form of a mindfulness or meditation practice?,I believe my current employment is secure into the foreseeable future.,I have a desire to help those less fortunate and take tangible action to do so.,I am able to sacrifice personal comforts for the benefit of others less fortunate.,I feel the work I do makes a difference in the world.,I feel the work I do makes a difference in the lives of others.,I am actively seeking out situations where I can grow my knowledge.,I am curious and stimulated by certain fields/topics outside of my profession.,I can accurately identify and name the emotions of others.,I am able to imagine what others are feeling.,I can feel what others feel by identifying what they are going through.,I can recognize and understand why others are feeling the way they are.,I struggle to recognize and understand the emotions someone else is experiencing fully.,I am actively making time to study or learn more about my field of work.,I struggle to find time to keep up to date with the latest developments in my field of work.,I have control to change and adapt how I do my job as I see fit.,I am satisfied with the level of freedom and discretion to change and adapt my job to better suit my personal needs.,I am thankful for the things in my life that I have.,I often think or dream of things I do not have.,"To the best of my knowledge, my diet is balanced (e.g., a good mix of multiple food groups).",How many times a day do you eat?,"Do you eat at equally dispersed intervals? e.g., 4 hours apart?",How many times a week do you exercise?,"On average, how long are your exercise sessions?","Do you believe your exercise routine incorporates a good balance of the typical types of exercise? (e.g., cardio, strength).",My manager/supervisor considers everyone's input on the team before making decisions.,My manager/supervisor gives me constructive feedback if I do not perform well.,My manager/supervisor gives me positive feedback if I perform well.,I have a negative outlook on the future.,"When doing my work, I get irritated/agitated more than usual.","When doing my work, I find remaining energized and motivated difficult.",I struggle to relax when I have time to do so.,"When doing my work, I feel mentally fatigued or exhausted.",I tend to worry about the future more than before.,"When I wake up, I feel ready to take on the day.",I feel uncertain and anxious about what the future holds.,I feel powerless over my own life.,I am enthusiastic about my work.,My life has meaning and a purpose.,"When doing my work, I feel cheerful and happy.",I feel a sense of dread/disdain when I think about my job.,I am satisfied with my job.,I have been thinking about/planning on leaving my employer.,I get excited about doing my job.,My working day goes by fast.,"I get immersed while doing my job, forgetting about time and other worries.",I am proud of the work I do.,Our leaders treat staff with respect.,Staff treat each other with respect.,My co-workers trust in me and each other.,"In my area, employees are treated fairly.",I am empowered to investigate problems and explore new ideas at work.
respondent_jhgrr5pf81cc,2024-04-19T21:35:31.845Z,306.505,58,Workout Balance,Sleep Pattern Consistency,Cognitive Empathy,Dietary Quality,Knowledge Desire and Curiosity,Mindfulness Practice,75,75,75,25,100,75,75,100,100,100,100,25,25,0,25,75,75,75,75,25,75,75,50,25,25,100,50,100,75,75,75,100,100,75,75,75,75,50,75,0,75,50,100,75,100,100,66,100,80,33,100,75,25,50,50,50,100,25,75,25,50,75,75,75,75,50,80,40,100,100,100,100,75,75,75,75,75
respondent_onbkxkz49a17,2024-04-18T01:19:27.205Z,2178.739,63,Sleep Pattern Consistency,Workout Balance,Emotional Empathy,Dietary Quality,Workout Frequency and length,Healthy Personal Relationships,75,25,25,25,100,75,75,50,50,75,50,25,50,75,50,50,75,50,75,50,50,50,25,50,25,66,100,75,75,50,75,50,50,25,75,50,75,75,75,50,75,50,100,25,75,100,33,100,60,33,75,75,75,100,25,50,25,25,50,75,25,75,100,100,100,50,100,60,100,75,75,75,75,75,75,50,50
respondent_kpt0q5nsgx5z,2024-04-18T19:46:10.545Z,399.191,52,Sleep Pattern Consistency,Gratitude,Sleep Quality,Emotional Empathy,Knowledge Desire and Curiosity,Workout Frequency and length,75,25,25,25,50,50,50,75,75,50,50,25,25,75,100,75,75,75,75,75,50,25,25,75,75,66,75,75,75,50,50,75,75,75,75,75,75,25,25,25,50,75,75,0,75,100,33,75,100,66,50,75,75,50,75,75,75,75,25,50,25,25,25,50,50,75,80,80,50,75,25,75,75,75,50,75,25
respondent_3ca5pdntup7y,2024-04-16T17:37:15.424Z,415.763,85,Mindfulness Practice,Workout Balance,Workout Frequency and length,Gratitude,Regular Meal Energy,Healthy Personal Relationships,100,0,50,0,100,100,100,75,75,0,50,75,75,75,75,50,50,100,75,25,100,75,50,50,75,0,75,75,75,50,50,75,50,75,75,75,75,75,75,75,75,75,100,50,50,100,66,0,0,0,75,75,100,100,100,75,100,75,50,75,100,100,75,75,75,100,80,100,75,100,100,75,100,100,75,75,75
respondent_alfpexn4dfa9,2024-04-16T17:17:37.759Z,375.006,55,Dietary Quality,Mindfulness Practice,Workout Balance,Sleep Pattern Consistency,Charity,Knowledge Desire and Curiosity,75,75,75,100,50,25,75,50,75,25,50,75,25,25,25,75,50,75,75,50,75,25,25,50,25,0,75,100,75,25,25,100,75,75,75,75,75,75,75,50,75,75,100,50,0,0,100,0,0,0,75,75,75,50,100,75,25,75,0,50,0,0,75,50,75,100,60,60,75,75,75,75,75,75,75,75,75
respondent_dw28ojhh1l71,2024-04-15T17:35:26.191Z,568.842,77,Mindfulness Practice,Dietary Quality,Workout Balance,Knowledge Desire and Curiosity,Sleep Pattern Consistency,Healthy Personal Relationships,100,100,75,100,100,100,100,75,100,75,75,75,75,75,50,100,100,75,50,75,100,100,25,75,50,0,75,75,75,75,75,75,100,50,75,75,75,75,75,75,100,75,100,50,25,100,66,50,40,33,75,75,100,100,100,75,25,75,75,75,75,75,75,75,75,75,100,100,75,75,75,100,75,75,75,75,75
respondent_qm3qnlcfi2b3,2024-04-16T16:08:30.761Z,760.115,54,Mindfulness Practice,Workout Balance,Workout Frequency and length,Sleep Quality,Healthy Personal Relationships,Sleep Pattern Consistency,75,100,75,100,100,75,75,75,75,75,75,100,75,75,50,50,50,50,25,50,75,75,25,75,75,0,75,75,50,50,50,50,50,50,50,50,50,50,50,50,75,75,50,75,50,0,66,0,0,0,50,75,75,50,50,75,50,75,50,75,25,75,50,25,50,50,80,80,50,50,75,75,75,75,75,75,100
respondent_99a11ypk24u5,2024-04-15T15:41:41.918Z,543.62,51,Dietary Quality,Mindfulness Practice,Workout Balance,Emotional Empathy,Regular Meal Energy,Knowledge Desire and Curiosity,25,0,25,100,50,75,75,50,50,50,50,25,25,75,75,50,50,75,75,50,75,75,25,75,100,33,25,75,50,0,0,100,100,75,75,50,75,50,25,100,25,25,75,0,25,100,33,0,100,33,25,75,75,50,75,75,75,75,75,25,25,75,0,25,50,50,0,40,25,50,50,75,50,75,75,50,75
respondent_c20lmwdmpvwq,2024-04-15T20:44:24.421Z,635.482,63,Mindfulness Practice,Workout Balance,Sleep Quality,Gratitude,Charity,Healthy Personal Relationships,100,75,25,75,100,100,100,100,100,50,25,75,25,75,50,100,100,100,25,25,100,100,0,50,50,0,75,100,100,75,75,25,75,75,75,75,75,75,75,25,75,75,100,50,75,100,33,50,60,0,100,100,100,75,75,50,25,25,25,50,50,75,100,100,75,75,80,100,75,25,75,100,100,100,100,100,100
respondent_qcat081vuvin,2024-04-18T00:43:26.291Z,689.875,89,Emotional Empathy,Charity,Sleep Quality,Gratitude,Workout Frequency and length,Healthy Personal Relationships,100,75,75,100,100,100,100,100,100,50,25,100,75,25,50,75,100,100,100,75,75,0,100,75,75,66,100,50,75,75,75,100,50,50,25,50,75,75,100,75,75,25,100,75,75,100,33,100,80,66,75,75,75,100,75,75,75,100,75,100,75,100,100,100,75,100,100,100,75,75,75,75,100,75,75,75,100
respondent_qpim3ebwbydk,2024-04-16T22:19:37.768Z,782.455,77,Mindfulness Practice,Workout Balance,Workout Frequency and length,Knowledge Desire and Curiosity,Gratitude,Healthy Personal Relationships,75,0,25,25,100,100,75,100,75,25,25,75,50,25,25,50,75,75,100,75,50,75,50,50,75,0,75,75,75,50,75,75,75,75,75,75,50,50,50,50,50,25,100,75,50,100,33,0,0,0,75,75,75,100,75,75,25,75,75,75,75,100,75,75,75,75,80,80,50,75,75,75,50,75,75,75,75
respondent_imuplb49gllj,2024-04-15T16:21:27.009Z,458.472,33,Sleep Quality,Sleep Pattern Consistency,Cognitive Empathy,Regular Meal Energy,Workout Balance,Workout Frequency and length,50,100,75,25,100,100,75,75,75,0,0,25,0,75,75,75,75,25,50,25,25,75,50,50,75,100,25,100,100,75,75,75,75,75,75,75,75,75,50,25,75,75,100,75,100,100,100,100,100,100,75,50,75,75,0,0,0,0,25,50,25,75,50,100,25,0,40,40,50,100,75,75,100,100,75,25,75
respondent_9dmjhmobl6dy,2024-04-16T18:56:12.375Z,236.115,75,Mindfulness Practice,Charity,Sleep Quality,Workout Frequency and length,Regular Meal Energy,Healthy Personal Relationships,75,75,75,75,100,100,100,100,100,25,50,50,25,50,50,75,100,75,50,50,75,75,25,50,50,0,75,50,25,75,75,75,50,75,75,75,50,75,50,50,75,100,100,50,75,100,66,100,60,66,75,75,75,75,75,75,25,75,75,75,50,75,100,100,75,75,100,80,75,75,75,100,100,100,100,75,75
respondent_1dtax807g2pu,2024-04-18T16:53:47.216Z,1116.667,71,Mindfulness Practice,Workout Balance,Workout Frequency and length,Regular Meal Energy,Gratitude,Dietary Quality,75,25,25,25,50,50,75,75,75,25,50,50,25,75,75,75,50,75,75,75,75,75,25,75,50,0,75,25,50,75,75,25,50,50,75,50,50,25,25,50,75,50,75,50,75,50,66,0,0,0,50,75,50,75,75,75,75,75,75,25,75,75,75,75,75,75,80,100,75,75,75,75,75,75,75,75,50
